code,product_label,kenya_exported_value_2001,kenya_exported_value_2002,kenya_exported_value_2003,kenya_exported_value_2004,kenya_exported_value_2005,kenya_exported_value_2006,kenya_exported_value_2007,kenya_exported_value_2008,kenya_exported_value_2009,kenya_exported_value_2010,kenya_exported_value_2011,kenya_exported_value_2012,kenya_exported_value_2013,kenya_exported_value_2014,kenya_exported_value_2015,kenya_exported_value_2016,kenya_exported_value_2017,kenya_exported_value_2018
'23,Residues and waste from the food industries; prepared animal fodder,229,408,512,147,370,1057,1727,1666,1496,2062,2926,8042,8170,12169,11535,10039,11784,21488
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2009,3888,7562,3529,6548,5880,10415,8599,17211,15237,18347,20892,32310,33898,21978,13988,12457,20898
'83,Miscellaneous articles of base metal,3162,2078,5151,5195,6988,9060,10342,15490,18421,19603,28760,20788,17340,20119,20851,18694,20979,20656
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",5201,1971,8811,5574,7135,13076,12617,16799,13463,15443,16184,12652,16571,19389,15870,12237,13460,19162
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",17786,11292,18518,9816,12263,11607,61671,13730,31518,117329,73151,170943,93846,9946,14733,15538,18824,17983
'76,Aluminium and articles thereof,11016,5366,26068,25457,30570,40501,50709,65759,50499,49559,50277,54656,55607,60624,38756,34417,27808,17875
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,3709,1101,2743,1748,2849,1826,818,29474,72386,66508,78683,63759,38075,20183,20994,44911,48322,15548
'96,Miscellaneous manufactured articles,5600,1742,6319,6812,11044,12458,15827,15133,14839,12455,13775,15035,13716,15743,17590,17363,20945,14642
'95,"Toys, games and sports requisites; parts and accessories thereof",613,921,1573,1455,6260,6271,8239,7940,9267,9219,10424,11107,11603,12839,12259,10899,11150,12496
'70,Glass and glassware,5164,4605,7244,12095,17146,21110,24794,29857,30746,29058,39077,32722,26810,15261,14604,10276,11993,12222
'55,Man-made staple fibres,7054,7238,6323,4566,4540,5938,6525,7647,7812,8068,9797,10720,10716,10194,8220,7697,9039,10350
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",1652,1331,1895,5001,2475,3175,3485,2833,3097,2961,3044,4399,3775,3061,3002,2182,2505,8476
'69,Ceramic products,927,1471,2044,2256,3337,4011,5177,4202,4101,4196,4532,5422,5465,4643,3770,3672,5950,7364
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,615,382,922,843,1482,1277,1631,1784,1967,2451,3531,4488,10745,13856,12157,9129,8929,7176
