code,product_label,tanzania_imported_value_2001,tanzania_imported_value_2002,tanzania_imported_value_2003,tanzania_imported_value_2004,tanzania_imported_value_2005,tanzania_imported_value_2006,tanzania_imported_value_2007,tanzania_imported_value_2008,tanzania_imported_value_2009,tanzania_imported_value_2010,tanzania_imported_value_2011,tanzania_imported_value_2012,tanzania_imported_value_2013,tanzania_imported_value_2014,tanzania_imported_value_2015,tanzania_imported_value_2016,tanzania_imported_value_2017,tanzania_imported_value_2018
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",89,114,168,211,126,573,507,1894,1325,944,1552,1882,1128,1787,1016,591,615,1291
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",886,338,854,678,683,1522,1463,1816,1371,1537,1754,2691,1928,1696,2020,1890,1369,1253
'09,"Coffee, tea, maté and spices",205,247,212,268,357,475,313,491,589,610,1086,1280,1541,2394,1613,2307,1786,1236
'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,126,178,289,268,260,298,333,510,564,1050,1112,1262,2361,2756,1109,1251,1081,995
'13,"Lac; gums, resins and other vegetable saps and extracts",174,168,748,259,302,363,1819,2632,2615,1111,1801,1031,837,760,585,585,592,977
'92,Musical instruments; parts and accessories of such articles,288,262,797,264,403,360,347,417,588,477,943,416,424,721,552,669,632,693
'93,Arms and ammunition; parts and accessories thereof,751,477,418,734,321,540,271,1165,287,882,785,1629,1654,1485,1375,222,1175,374
'97,"Works of art, collectors' pieces and antiques",105,142,263,127,523,724,843,1021,575,345,185,277,1356,267,699,226,588,356
'80,Tin and articles thereof,349,619,503,875,1024,92,258,11021,214,235,514,246,407,317,417,258,221,135
'50,Silk,22,19,17,28,44,9,15,3221,125,76,59,164,78,91,60,102,32,132
'81,Other base metals; cermets; articles thereof,34,6,162,50,137,62,42,387,35,113,356,201,214,147,142,482,67,122
'41,Raw hides and skins (other than furskins) and leather,42,36,36,36,46,81,69,99,56,37,81,102,233,13,340,204,79,118
'78,Lead and articles thereof,239,137,424,562,341,727,254,417,43,823,418,241,244,3773,255,254,238,117
'05,"Products of animal origin, not elsewhere specified or included",32,56,122,33,34,73,84,113,51,67,57,194,80,78,38,49,81,80
'75,Nickel and articles thereof,198,56,402,88,129,114,32,25,285,111,314,95,98,221,711,83,64,57
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",5,25,71,70,31,37,61,22,57,61,125,166,71,194,20,114,16,42
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,8,42,45,29,45,197,12,16,148,40,43,70,3,4,20,149,6,37
'45,Cork and articles of cork,21,18,26,14,24,26,24,198,20,65,126,167,161,88,48,37,94,34
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",72,91,77,242,112,113,278,264,196,280,332,289,139,197,89,42,54,27
'43,Furskins and artificial fur; manufactures thereof,9,4,8,3,23,8,33,15,45,15,26,31,207,1078,215,7,3,14
'99,Commodities not elsewhere specified,0,0,2,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0
