code,product_label,rwanda_imported value in 2001,rwanda_imported value in 2002,rwanda_imported value in 2003,rwanda_imported value in 2004,rwanda_imported value in 2005,rwanda_imported value in 2006,rwanda_imported value in 2007,rwanda_imported value in 2008,rwanda_imported value in 2009,rwanda_imported value in 2010,rwanda_imported value in 2011,rwanda_imported value in 2012,rwanda_imported value in 2013,rwanda_imported value in 2014,rwanda_imported value in 2015,rwanda_imported value in 2016,rwanda_imported value in 2017,rwanda_imported value in 2018
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,0,0,0,0,1,63,34,18,44,90,146,163,68,3,4,228,189,377
'02,Meat and edible meat offal,13,12,19,83,131,47,27,94,59,62,35,120,205,261,258,476,408,317
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",0,1,1,79,72,109,228,136,381,687,743,1185,710,79,229,417,495,261
'26,"Ores, slag and ash",0,0,2,0,2855,6418,9258,7860,37,23288,5890,27,50,70,1,3,3,177
'97,"Works of art, collectors' pieces and antiques",273,41,48,15,34,80,51,127,42,134,272,181,167,112,276,180,147,175
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0,17,0,1,3,6,11,23,31,79,82,102,87,49,145,93,147,141
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",10,38,11,27,192,22,334,451,531,279,659,114,127,394,374,173,109,119
'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,54,24,71,34,34,11,88,60,37,127,23,66,66,68,99,34,84,92
'79,Zinc and articles thereof,74,98,59,28,6,137,107,175,203,44,108,49,40,65,32,14,8,54
'81,Other base metals; cermets; articles thereof,4,0,3,0,0,13,5,17,38,1,0,12,9,6,34,26,7,24
'05,"Products of animal origin, not elsewhere specified or included",24,37,9,170,12,14,56,22,54,65,89,39,23,59,10,38,14,19
'75,Nickel and articles thereof,0,5,1,8,0,1,19,23,633,25,2,4,28,35,12,20,7,13
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0,19,1,1,6,209,2,3,285,4,9,6,3,91,1,11,5,5
'50,Silk,0,0,2,0,0,45,2,170,22,74,46,4,26,8,157,4,63,3
'45,Cork and articles of cork,0,4,4,1,1,1,7,22,15,25,37,26,28,1,1,26,4,2
'43,Furskins and artificial fur; manufactures thereof,0,1,0,0,0,3,2,2,1,157,13,2,0,2,20,15,11,1
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,32,168,118,6,4,9,14,6,5,78,242,181,123,9,5,6,1
'93,Arms and ammunition; parts and accessories thereof,5,13,0,0,114,59,134,216,900,267,50,2897,71,3276,0,0,0,0
